Title,Price,Category_path,Rating,Qty_califications,Features_JSON_format,Image_Url,Item_Url
Cama 105 con lamas,61.98,Inicio>Muebles Lufe>Camas>Camas individuales>Cama 105 con lamas,4.5,37,"{""Descripcion_0"": null}",https://muebleslufe.com/1616-thickbox_default/cama-somier-105.jpg,https://muebleslufe.com/es/individual/414-cama-somier-105.html
Cama 105 con lamas,51.98,Inicio>Muebles Lufe>Camas>Camas individuales>Cama 105 con lamas,4.7,13,"{""Descripcion_0"": null}",https://muebleslufe.com/1592-thickbox_default/cama-somier-105.jpg,https://muebleslufe.com/es/individual/410-cama-somier-105.html
Baúl de almacenaje tapizado,69.99,Inicio>Muebles Lufe>Muebles de almacenaje>Baúles y pies de cama>Baúl de almacenaje tapizado,4.6,49,"{""Material"": "" Madera local certificada PEFC"", ""Medidas"": "" 700 x 400 x 395 mm y 1000 x 400 x 395 mm (largo x ancho x alto)"", ""Acolchado"": "" 520 gr/m2. POL/ALG (65%/35%)"", ""Tapizado"": "" POL (100%). Resistencia a la abrasión +20.000""}",https://muebleslufe.com/1355-thickbox_default/baul-pie-de-cama-tapizado.jpg,https://muebleslufe.com/es/baules-pies-de-cama/317-baul-pie-de-cama-tapizado.html
Ambiente estanterías asimétricas y básica II,109.97,Inicio>Muebles Lufe>Ambientes>Salones>Salones modernos>Ambiente estanterías asimétricas y básica II,3.8,4,"{""Composición para salón formada por_0"": """", ""Una LUFE Estantería asimétrica de 5 baldas_1"": null}",https://muebleslufe.com/673-thickbox_default/composicion-salon-002.jpg,https://muebleslufe.com/es/salones-modernos/88-composicion-salon-002.html
Ambiente mesa y estanterías ,234.97,Inicio>Muebles Lufe>Ambientes>Salones>Ambiente mesa y estanterías ,,,"{""Composición para comedor formada por_0"": """", ""Una ARINA Mesa de comedor para 8 comensales_1"": null}",https://muebleslufe.com/675-thickbox_default/composicion-arina-1.jpg,https://muebleslufe.com/es/conjuntos-de-salones/92-composicion-arina-1.html
Ambiente cama sofá y estantería cubo,219.99,Inicio>Muebles Lufe>Ambientes>Salones>Salones modernos>Ambiente cama sofá y estantería cubo,5,1,"{""Composición LUFE para salón incluye_0"": """", ""Una LUFE Cama sofá con lamas y un cajón de almacenaje_1"": null}",https://muebleslufe.com/669-thickbox_default/composicion-cubo.jpg,https://muebleslufe.com/es/salones-modernos/84-composicion-cubo.html
Revistero,14.99,Inicio>Revistero,4.8,5,"{""Descripcion_0"": "" Muebles de madera maciza ecológica con certificado PEFC."", ""Altura total_0"": "" 30 cm"", ""Anchura total_0"": "" 42 cm"", ""Fondo total_0"": "" 21 cm"", ""Grosor de las piezas_0"": "" 2 cm"", ""Medidas de cada pieza_0"": "" 40x20 cm"", ""Peso total_0"": "" 2 kg""}",https://muebleslufe.com/2003-thickbox_default/revistero.jpg,https://muebleslufe.com/es/home/458-revistero.html
Ambiente estanterías asimétricas y básicas I,149.99,Inicio>Muebles Lufe>Ambientes>Salones>Salones modernos>Ambiente estanterías asimétricas y básicas I,,,"{""Composición LUFE para salón formada por_0"": """", ""Una LUFE Estantería asimétrica de 5 baldas_1"": null}",https://muebleslufe.com/672-thickbox_default/composicion-salon-001.jpg,https://muebleslufe.com/es/salones-modernos/87-composicion-salon-001.html
Cama sofá 80 con colchón y respaldo,209.98,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá 80 con colchón y respaldo,4.6,7,"{""Material"": "" Madera de pino certificada PEFC."", ""Altura"": "" Cabecero 68,5 cm, Pie de cama 68,5 cm, colchón 28,5 cm del suelo"", ""Largo exterior"": "" 197,5 cm / 207,5 cm"", ""Anchura exterior"": "" 89 cm"", ""Este producto incluye la estructura de cama sofá, las lamas, el colchón de 80 cm x 17 cm de espesor y los dos cojines del respaldo. No incluye cojines decorativos ni textiles._1"": null}",https://muebleslufe.com/1488-thickbox_default/lufe-cama-sofa-completa-respaldo.jpg,https://muebleslufe.com/es/sofa/393-lufe-cama-sofa-completa-respaldo.html
Banco 70 + perchero CIMAS,54.98,Inicio>Muebles Lufe>Muebles de almacenaje>Banco 70 + perchero CIMAS,4.8,9,"{""Diseño_0"": "" Silvia Ceñal"", ""Material_0"": "" Madera maciza pulida"", ""Descripcion_1"": "" PERCHERO CIMAS"", ""Anchura total_1"": "" 720 mm"", ""Altura total_1"": "" 300 mm"", ""Colgadores_1"": "" 5"", ""Descripcion_2"": "" BANCO ARINA 70"", ""Altura del asiento_2"": "" 45 cm"", ""Largos disponibles_2"": "" 70 cm"", ""Fondo del asiento_2"": "" 33 cm""}",https://muebleslufe.com/1784-thickbox_default/banco-y-perchero-de-pared.jpg,https://muebleslufe.com/es/auxiliar/431-banco-y-perchero-de-pared.html
